DATE, BTC_HASH, BTC_ENTR, LTC_HASH, LTC_ENTR
24/05/2018,33043783410977000000,74.06983137368947,342883696551720,55.513531327499415
25/05/2018,35020426447876000000,74.15364914510239,318053468747770,55.405081339814956
26/05/2018,34757983858367000000,74.1427968942108,310316327953480,55.36955162825021
27/05/2018,35747007926919000000,74.1832749847672,312342427634090,55.37894057284296
28/05/2018,34364958874501000000,74.12639072620739,312053443800890,55.3776051521847
29/05/2018,32587311037301000000,74.04976280544452,311213024588530,55.37371445879343
30/05/2018,32432292535186000000,74.04288350025912,295109100838530,55.29706043149558
31/05/2018,36883203125262000000,74.22841644555099,284733156039220,55.245422517858664
01/06/2018,36008271801562000000,74.19378085314092,295075804098170,55.29689764508121
02/06/2018,35992001148567000000,74.19312881142426,293402107614810,55.28869125337441
03/06/2018,33751771397012000000,74.10041571458949,289647218440630,55.27010882941054
04/06/2018,35808546953446000000,74.18575647122701,287819584444710,55.26097678132366
05/06/2018,42159191449634000000,74.42129969185866,308819775749670,55.362577159680605
06/06/2018,38216609643180000000,74.27965228977877,320986798529730,55.418325982661116
07/06/2018,34516860131236000000,74.13275372730712,329642553071650,55.45671450883945
08/06/2018,36910357215769000000,74.22947819330517,330960277583620,55.462470091625015
09/06/2018,35682675966526000000,74.18067630533127,305977013425100,55.34923529319878
10/06/2018,32618277926574000000,74.05113311070988,323943213052000,55.43155295107624
11/06/2018,33472985709553000000,74.08844973503608,302337685499320,55.33197283676778
12/06/2018,35250469753784000000,74.16309497659596,316114854071570,55.39626084723917
13/06/2018,35482936695619000000,74.172577910573,329273160085980,55.455096937809486
14/06/2018,37145680924216000000,74.23864696599155,307900370664130,55.358275623083046
15/06/2018,35317080753748000000,74.16581859069812,298769646418620,55.31484560350617
16/06/2018,40223522228055000000,74.35349191210636,297223137103020,55.30735844463578
17/06/2018,41290051171351000000,74.39124669982357,319153400234450,55.410062037150524
18/06/2018,38299510239026000000,74.2827784369356,303353641211240,55.33681264733568
19/06/2018,39377917785903000000,74.32283932020283,302694185539290,55.3336729815829
20/06/2018,38459601859605000000,74.28879632108436,299998753925410,55.32076852727556
21/06/2018,42944489688647000000,74.44792552090429,302495690837830,55.33272660973206
22/06/2018,40163620396308000000,74.35134181474562,309680928138590,55.36659455554109
23/06/2018,37309847332948000000,74.24500895020171,298176708368350,55.311979586956625
24/06/2018,44858638682501000000,74.51083833322255,292300122938220,55.28326245484473
25/06/2018,41161691997834000000,74.38675478041546,303904120356290,55.33942825408613
26/06/2018,37338637152303000000,74.24612176399712,295531732768380,55.29912506725622
27/06/2018,36019644274732000000,74.1942364268039,273841798223682,55.18915469008614
28/06/2018,34708704257268000000,74.14075000094506,265736182234200,55.14580669528315
29/06/2018,36567980890578000000,74.21603346349777,287297518908170,55.25835755277674
30/06/2018,37305873301054000000,74.24485527437945,304816775153950,55.34375432058699
01/07/2018,37232683136827000000,74.24202207969596,280660201651750,55.22463651935509
02/07/2018,38599323842501000000,74.2940280688902,265738964546900,55.14582180051905
03/07/2018,33193210193238000000,74.07634065594173,262619986266700,55.128788733286235
04/07/2018,34280911169139000000,74.12285794941435,259151230445432,55.10960626254822
05/07/2018,35017367410334000000,74.15352312005074,266852974648010,55.15185711226135
06/07/2018,40121641011323000000,74.34983310804168,258314768268160,55.10494214591406
07/07/2018,42513064343243000000,74.43335874559247,276329842530050,55.2022033948414
08/07/2018,40779937887673000000,74.37331207132885,273027398084860,55.18485775064223
09/07/2018,39401917268783000000,74.32371832524218,293249993229430,55.287943093863724
10/07/2018,39283572220827000000,74.31937861931551,267281175788180,55.15417025323263
11/07/2018,38410186324369000000,74.28694145562598,258915731105470,55.10829464154741
