date,hashrate
2014/09/13,925377508096
2014/09/14,937581490563
2014/09/15,1062183102528
2014/09/16,983608827576
2014/09/17,983509027210
2014/09/18,941608473189
2014/09/19,894378326441
2014/09/20,901774251506
2014/09/21,897510877569
2014/09/22,970322346408
2014/09/23,930139960864
2014/09/24,1027591396256
2014/09/25,1081689018297
2014/09/26,1041874610523
2014/09/27,994027671726
2014/09/28,1012596896251
2014/09/29,1041099139138
2014/09/30,1010709257927
2014/10/01,1059434197831
2014/10/02,1078306814483
2014/10/03,1069195184199
2014/10/04,1069979597620
2014/10/05,1072071320913
2014/10/06,1065634667752
2014/10/07,989813008419
2014/10/08,968748683834
2014/10/09,1011325148315
2014/10/10,1064565386333
2014/10/11,1073498735757
2014/10/12,1055114553772
2014/10/13,1052621545979
2014/10/14,990318893659
2014/10/15,1004775140911
2014/10/16,1099291479454
2014/10/17,1066799661475
2014/10/18,1056541670615
2014/10/19,1032875579854
2014/10/20,1041799066440
2014/10/21,1039201435738
2014/10/22,1047254593560
2014/10/23,1100120827322
2014/10/24,1106496589646
2014/10/25,1038371483116
2014/10/26,1097536204197
2014/10/27,1082144244407
2014/10/28,1138674395945
2014/10/29,1190536768503
2014/10/30,1180537179789
2014/10/31,1056690131112
2014/11/01,1070205855042
2014/11/02,1094758978927
2014/11/03,1101736931794
2014/11/04,1122042967079
2014/11/05,1189029089686
2014/11/06,1285633633366
2014/11/07,1179041768237
2014/11/08,1187453945669
2014/11/09,1213545757930
2014/11/10,1174524129239
2014/11/11,1222782738318
2014/11/12,1213611188211
2014/11/13,1234607590062
2014/11/14,1274938741662
2014/11/15,1295405670700
2014/11/16,1314861325937
2014/11/17,1340774837796
2014/11/18,1473050587238
2014/11/19,1332626571122
2014/11/20,1417314712887
2014/11/21,1381473968814
2014/11/22,1443232831198
2014/11/23,1524020575370
2014/11/24,1478973695496
2014/11/25,1548768764801
2014/11/26,1546160126319
2014/11/27,1491186962527
2014/11/28,1489995627647
2014/11/29,1463168529079
2014/11/30,1472359226558
2014/12/01,1479781889325
2014/12/02,1496453084965
2014/12/03,1562865957529
2014/12/04,1471325884829
2014/12/05,1471559619350
2014/12/06,1457157800611
2014/12/07,1564615015561
2014/12/08,1665308742869
2014/12/09,1665919036251
2014/12/10,1630762369395
2014/12/11,1585530877558
2014/12/12,1634595078445
2014/12/13,1633753673914
2014/12/14,1669949289727
2014/12/15,1625066332201
2014/12/16,1612928734871
2014/12/17,1653286583995
2014/12/18,1530402342119
2014/12/19,1603546691575
2014/12/20,1489105661346
2014/12/21,1492519388081
2014/12/22,1474349492102
2014/12/23,1466926442994
2014/12/24,1575682913351
2014/12/25,1771651075687
2014/12/26,1649052150206
2014/12/27,1706314284198
2014/12/28,1700949808695
2014/12/29,1523703867219
2014/12/30,1531151326839
2014/12/31,1467501213630
2015/01/01,1495639433228
2015/01/02,1593350108223
2015/01/03,1568703406354
2015/01/04,1489530677164
2015/01/05,1442629409901
2015/01/06,1389153397725
2015/01/07,1302068890911
2015/01/08,1298286932736
2015/01/09,1380218366307
2015/01/10,1461812732576
2015/01/11,1274037630528
2015/01/12,1331007196084
2015/01/13,1267878660532
2015/01/14,1248936144544
2015/01/15,1182671552012
2015/01/16,1124727275634
2015/01/17,1135731438645
2015/01/18,1179257767282
2015/01/19,1097270237453
